Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-02-16,763.225,17.000,2341.719,3.538,1.000,3.000,73.388,62.000,160.000,8093.147,101.000
2020-02-17,835.954,15.000,2339.289,3.486,9.000,2.000,74.470,61.000,111.000,7788.731,95.500
2020-02-18,808.709,17.000,2306.094,3.727,12.000,2.000,79.572,67.000,127.000,8259.269,111.000
2020-02-19,827.741,15.000,2413.094,2.955,12.000,2.000,73.664,63.000,105.000,6609.000,99.000
2020-02-20,789.986,17.000,2348.687,3.069,10.000,,79.825,69.000,104.000,6759.000,106.000
2020-02-21,822.257,14.000,2343.378,3.105,11.000,1.000,78.923,69.000,102.000,6832.000,110.000
2020-02-22,806.472,16.000,2328.638,3.298,7.000,2.000,79.689,69.000,139.000,7412.000,101.500
2020-02-23,834.324,15.000,2298.466,4.593,7.000,5.000,78.329,67.000,206.000,10452.000,98.000
2020-02-24,763.734,15.000,2257.978,3.526,14.000,3.000,75.813,62.000,121.000,7907.000,102.000
2020-02-25,939.786,16.000,2370.915,4.048,14.000,2.000,75.499,63.000,136.000,8948.000,106.500
2020-02-26,816.661,16.000,2311.378,3.467,14.000,5.000,78.647,64.000,135.000,7743.000,101.500
2020-02-27,1020.326,18.000,2486.791,4.060,15.000,8.000,76.801,68.000,129.000,8985.000,105.500
2020-02-28,881.602,16.000,2365.420,4.631,21.000,10.000,79.511,67.000,201.000,10428.000,105.000
2020-02-29,1152.554,17.000,2424.118,6.507,30.000,10.071,82.838,60.000,312.000,14778.000,97.000
2020-03-01,780.944,17.000,2227.860,3.997,11.000,5.000,75.896,63.000,197.000,9158.000,97.000
2020-03-02,766.089,15.000,2157.978,5.120,35.000,4.000,89.729,59.000,157.000,11567.000,133.000
2020-03-03,819.496,14.000,2214.855,4.441,30.000,2.000,75.585,60.000,137.000,9737.026,84.000
2020-03-04,818.846,16.000,2186.794,4.254,34.000,2.000,78.249,57.000,151.000,9478.000,135.000
2020-03-05,802.429,15.000,2206.696,3.559,30.000,1.000,72.385,58.000,126.000,7685.000,95.000
2020-03-06,697.307,17.000,2183.280,2.890,3.000,7.000,65.725,54.000,145.000,6560.000,86.000
2020-03-07,833.717,16.000,2236.998,4.796,7.000,2.000,68.549,53.000,194.000,10930.000,91.500
2020-03-08,1039.741,17.000,2187.064,6.275,42.000,1.000,71.067,54.000,235.000,14125.479,88.000
2020-03-09,767.333,17.000,2252.986,3.483,14.000,4.000,66.134,53.000,150.000,7792.000,93.000
2020-03-10,788.166,18.000,2276.402,3.533,12.000,1.000,66.429,55.000,156.000,7820.000,96.000
2020-03-11,910.749,18.000,2390.749,4.143,19.000,2.000,72.899,59.000,137.000,9290.353,82.000
2020-03-12,823.441,15.000,2281.228,3.650,9.000,2.000,72.026,61.000,157.000,8239.647,94.000
2020-03-13,671.581,15.000,2241.326,2.464,1.000,,69.224,60.000,106.000,5567.000,89.500
2020-03-14,721.695,15.000,2279.519,3.028,7.000,1.000,76.309,62.000,98.000,6838.099,97.000
2020-03-15,710.335,15.000,2195.482,3.558,3.000,2.000,71.577,62.000,164.000,8164.000,92.000
2020-03-16,649.797,16.000,2272.393,1.589,1.000,1.000,67.931,58.000,70.000,3608.000,92.500
2020-03-17,633.596,15.000,2231.503,2.551,1.000,,71.419,61.000,79.000,5710.000,94.000
2020-03-18,907.938,15.000,2308.548,3.634,33.000,,81.568,62.000,104.000,7820.000,99.000
2020-03-19,841.780,16.000,2359.784,3.814,8.000,1.000,78.277,64.000,131.000,8625.000,109.000
2020-03-20,750.555,16.000,2337.258,2.860,3.000,1.000,77.645,66.000,112.000,6464.000,107.000
2020-03-21,645.807,14.000,2064.424,2.581,30.000,2.000,79.309,63.000,94.000,5732.614,105.500
2020-03-22,617.941,18.000,2139.067,2.878,2.000,3.000,76.063,65.000,125.000,6495.000,92.500
2020-03-23,761.350,14.000,2226.078,3.717,21.000,,83.405,61.000,135.000,8203.000,118.000
2020-03-24,613.519,16.000,2172.470,2.067,5.000,1.000,71.623,61.000,78.000,4560.000,86.000
2020-03-25,680.006,14.000,2287.619,2.312,,,71.041,60.000,101.000,5240.000,102.500
2020-03-26,602.676,15.000,2244.439,1.635,6.000,2.000,70.978,60.000,75.000,3672.000,96.500
2020-03-27,900.556,17.000,2316.412,4.132,37.000,3.000,87.670,65.000,142.000,9008.000,123.000
2020-03-28,685.111,17.000,2241.253,2.667,4.000,3.000,74.001,63.000,136.000,6067.339,107.000
2020-03-29,686.196,16.000,2200.875,3.316,4.000,8.000,72.315,59.000,157.000,7397.000,99.000
2020-03-30,606.173,15.000,2243.193,1.935,3.000,2.000,71.045,59.000,72.000,4319.000,92.000
2020-03-31,741.514,17.000,2345.723,2.480,31.000,4.000,67.894,57.000,98.000,5504.000,87.000
2020-04-01,680.026,16.000,2228.220,2.414,6.000,2.000,68.632,56.000,91.000,5265.000,80.000
2020-04-02,757.552,18.000,2323.239,3.129,1.000,1.000,70.997,61.000,127.000,6981.000,97.000
2020-04-03,658.045,16.000,2259.970,2.134,,,71.102,60.000,83.000,4774.351,104.000
2020-04-04,898.067,15.000,2317.300,3.907,34.000,10.000,80.895,60.000,140.000,8488.706,105.000
2020-04-05,1092.310,17.000,2254.706,5.482,47.000,14.000,89.396,62.000,209.000,12121.000,96.000
2020-04-06,628.368,15.000,2190.563,2.207,6.000,1.000,71.109,58.000,104.000,4930.000,97.000
2020-04-07,672.606,19.000,2242.030,2.071,,,67.053,59.000,94.000,4600.000,81.500
2020-04-08,886.634,17.000,2335.052,3.581,33.970,5.000,79.216,64.000,116.000,7661.768,98.000
2020-04-09,615.156,16.000,2147.170,1.977,11.030,4.000,74.741,60.000,93.000,4431.232,93.500
2020-04-10,807.082,19.000,2351.535,2.951,5.000,7.000,75.123,61.000,121.000,6522.000,97.000
2020-04-11,753.789,16.000,2304.354,3.504,5.000,11.739,79.945,59.000,169.000,7864.000,103.500
